code,name,industry,area
000803,金宇车城,纺织,四川
300612,宣亚国际,广告包装,北京
603306,华懋科技,汽车配件,福建
002897,意华股份,元器件,浙江
002071,长城影视,影视音像,江苏
002064,华峰氨纶,化纤,浙江
603313,梦百合,家居用品,江苏
002789,建艺集团,装修装饰,深圳
000661,长春高新,生物制药,吉林
300522,世名科技,染料涂料,江苏
603899,晨光文具,文教休闲,上海
000561,烽火电子,通信设备,陕西
600641,万业企业,区域地产,上海
000551,创元科技,专用机械,江苏
600543,莫高股份,红黄药酒,甘肃
002011,盾安环境,工程机械,浙江
601798,*ST蓝科,化工机械,甘肃
002872,天圣制药,化学制药,重庆
601038,一拖股份,农用机械,河南
002144,宏达高科,纺织,浙江
300368,汇金股份,专用机械,河北
002447,晨鑫科技,互联网,辽宁
002560,通达股份,电气设备,河南
600416,湘电股份,电气设备,湖南
002853,皮阿诺,家居用品,广东
000938,紫光股份,软件服务,北京
300577,开润股份,纺织,安徽
300150,世纪瑞尔,软件服务,北京
603066,音飞储存,仓储物流,江苏
603776,永安行,公共交通,江苏
002706,良信电器,电气设备,上海
603108,润达医疗,医药商业,上海
600363,联创光电,元器件,江西
600234,ST山水,文教休闲,山西
600598,北大荒,种植业,黑龙江
300697,电工合金,铜,江苏
300447,全信股份,电气设备,江苏
300216,千山药机,医疗保健,湖南
300158,振东制药,中成药,山西
603733,仙鹤股份,造纸,浙江
002424,贵州百灵,中成药,贵州
002533,金杯电工,电气设备,湖南
600826,兰生股份,商贸代理,上海
600588,用友网络,软件服务,北京
002063,远光软件,软件服务,广东
300022,吉峰科技,农用机械,四川
603876,鼎胜新材,铝,江苏
600834,申通地铁,公共交通,上海
300082,奥克股份,化工原料,辽宁
002618,丹邦科技,元器件,深圳
600787,中储股份,仓储物流,天津
000889,中嘉博创,通信设备,河北
600071,凤凰光学,元器件,江西
002637,赞宇科技,日用化工,浙江
600626,申达股份,纺织,上海
002103,广博股份,文教休闲,浙江
600606,绿地控股,全国地产,上海
000751,锌业股份,铅锌,辽宁
600379,宝光股份,电气设备,陕西
600837,海通证券,证券,上海
600106,重庆路桥,路桥,重庆
600064,南京高科,园区开发,江苏
300066,三川智慧,电器仪表,江西
002300,太阳电缆,电气设备,福建
000958,东方能源,火力发电,河北
000498,山东路桥,建筑施工,山东
600718,东软集团,软件服务,辽宁
603579,荣泰健康,医疗保健,上海
600794,保税科技,仓储物流,江苏
300633,开立医疗,医疗保健,深圳
603309,维力医疗,医疗保健,广东
600589,广东榕泰,塑料,广东
600594,益佰制药,中成药,贵州
000570,苏常柴Ａ,机械基件,江苏
600513,联环药业,化学制药,江苏
002431,棕榈股份,建筑施工,广东
300493,润欣科技,通信设备,上海
002622,融钰集团,电气设备,吉林
